image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0004.JPG,ez0_np2_yz0,0.0,2.0,0.0,0.0,3.1151695251464844,0.8665678280207562,2.248601697125728,False,False,True,1.0,2698,3407
0004.JPG,ez0_nm2_yz0,0.0,-2.0,0.0,0.0,2.879296064376831,0.8943661971830986,1.9849298671937325,True,False,False,1.0,2698,3549
0004.JPG,ez0_nz0_yp0p5,0.0,0.0,0.0,0.5,3.047530174255371,0.8806523350630097,2.1668778391923613,False,False,True,1.0,2698,3434
0004.JPG,ez0_nz0_ym0p5,0.0,0.0,0.0,-0.5,2.8783774375915527,0.9177168272794662,1.9606606103120865,True,False,False,1.0,2698,3616
0004.JPG,ep2_nz0_ym0p5,2.0,0.0,0.0,-0.5,3.023804187774658,0.9266123054114158,2.0971918823632425,False,False,True,1.0,2698,3539
0004.JPG,em2_nz0_ym0p5,-2.0,0.0,0.0,-0.5,2.869708299636841,0.9151223128243143,1.9545859868125266,True,False,False,1.0,2698,3534
0004.JPG,ez0_np2_ym0p5,0.0,2.0,0.0,-0.5,2.9659695625305176,0.8925129725722758,2.0734565899582416,False,False,True,1.0,2698,3565
0004.JPG,ez0_nm2_ym0p5,0.0,-2.0,0.0,-0.5,2.982100486755371,0.85470719051149,2.127393296243881,False,False,True,1.0,2698,3304
0004.JPG,ez0_nz0_ym1,0.0,0.0,0.0,-1.0,2.9684712886810303,0.8713862120088954,2.0970850766721347,False,False,True,1.0,2698,3461
0004.JPG,em4_nz0_ym0p5,-4.0,0.0,0.0,-0.5,3.0253493785858154,0.8891771682727947,2.1361722103130205,False,False,True,1.0,2698,3573
0004.JPG,em2_np2_ym0p5,-2.0,2.0,0.0,-0.5,3.010751724243164,0.8220904373610082,2.188661286882156,False,False,True,1.0,2698,3164
0004.JPG,em2_nm2_ym0p5,-2.0,-2.0,0.0,-0.5,3.0787768363952637,0.885470719051149,2.1933061173441146,False,False,True,1.0,2698,3455
0004.JPG,em2_nz0_ym1,-2.0,0.0,0.0,-1.0,2.977917194366455,0.8602668643439585,2.1176503300224967,False,False,True,1.0,2698,3458
0004.JPG,em1_nz0_ym0p5,-1.0,0.0,0.0,-0.5,3.0240044593811035,0.8602668643439585,2.163737595037145,False,False,True,1.0,2698,3381
