image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_078_R_xml_pmm_xml_dist_nearest_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.2942225120023068
0000.jpg,screen_079_R_xml_pmm_xml_dist_bilinear_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.7883164289996785
0000.jpg,screen_080_R_xml_pmm_xml_dist_nearest_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.872728456000914
0000.jpg,screen_081_R_xml_pmm_xml_dist_bilinear_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.72680740800206
0000.jpg,screen_082_R_xml_pmm_xml_dist_nearest_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,9.385224945999653
0000.jpg,screen_083_R_xml_pmm_xml_dist_bilinear_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,True,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,22.50794203500118
0000.jpg,screen_084_R_xml_pmm_flip_y_nodist_nearest_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.279081820997817
0000.jpg,screen_085_R_xml_pmm_flip_y_nodist_bilinear_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.6140007829999377
0000.jpg,screen_086_R_xml_pmm_flip_y_nodist_nearest_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.627938749999885
0000.jpg,screen_087_R_xml_pmm_flip_y_nodist_bilinear_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.173998760001268
0000.jpg,screen_088_R_xml_pmm_flip_y_nodist_nearest_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,8.663840361998155
0000.jpg,screen_089_R_xml_pmm_flip_y_nodist_bilinear_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,False,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,21.587836062997667
0000.jpg,screen_090_R_xml_pmm_flip_y_dist_nearest_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.262514044999989
0000.jpg,screen_091_R_xml_pmm_flip_y_dist_bilinear_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.735776680001436
0000.jpg,screen_092_R_xml_pmm_flip_y_dist_nearest_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.634553165000398
0000.jpg,screen_093_R_xml_pmm_flip_y_dist_bilinear_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.582659926996712
0000.jpg,screen_094_R_xml_pmm_flip_y_dist_nearest_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,8.875468954000098
0000.jpg,screen_095_R_xml_pmm_flip_y_dist_bilinear_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",flip_y,True,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,21.98366239999814
0000.jpg,screen_096_R_xml_mpp_xml_nodist_nearest_step10p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,nearest,10.0,0.25,43.937705993652344,0.09165089105032966,0.9975779023807335,21217,15319,1404,0.7646617120008159
0000.jpg,screen_097_R_xml_mpp_xml_nodist_bilinear_step10p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,bilinear,10.0,0.25,42.553741455078125,0.09880138145865781,0.9975824983913962,21217,14767,1459,2.032761477999884
0000.jpg,screen_098_R_xml_mpp_xml_nodist_nearest_step2p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,nearest,2.0,0.25,41.72283935546875,0.08156911581569116,0.9978207249440819,21217,14454,1179,2.274939290997281
0000.jpg,screen_099_R_xml_mpp_xml_nodist_bilinear_step2p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,bilinear,2.0,0.25,45.17854309082031,0.09155031995346131,0.9978230229494133,21217,13752,1259,5.0543539760001295
0000.jpg,screen_100_R_xml_mpp_xml_nodist_nearest_step1p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,nearest,1.0,0.25,43.679779052734375,0.08402398760191362,0.9978888991022459,21217,14841,1247,3.8671146989981935
0000.jpg,screen_101_R_xml_mpp_xml_nodist_bilinear_step1p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,False,bilinear,1.0,0.25,43.59871292114258,0.08444382101276476,0.9978904311058001,21217,14258,1204,8.706191265999223
0000.jpg,screen_102_R_xml_mpp_xml_dist_nearest_step10p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,True,nearest,10.0,0.25,43.24555206298828,0.10547994269340974,0.9884770352667218,21217,16752,1767,0.948475272001815
0000.jpg,screen_103_R_xml_mpp_xml_dist_bilinear_step10p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,True,bilinear,10.0,0.25,45.38300323486328,0.10772995357008408,0.9884800992738303,21217,15938,1717,1.95394279500033
0000.jpg,screen_104_R_xml_mpp_xml_dist_nearest_step2p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,True,nearest,2.0,0.25,42.043365478515625,0.10452873271597107,0.9892591230811656,21217,15766,1648,2.1856277129991213
0000.jpg,screen_105_R_xml_mpp_xml_dist_bilinear_step2p0_scale0p25,R_xml,mpp,"[-1.0, 1.0, 1.0]",xml,True,bilinear,2.0,0.25,42.58070755004883,0.11141340411413404,0.9892545270705028,21217,15070,1679,5.399488538001606
